trial,item_no,item_id,type,expset,condition,social_context,target_context,register_match,grammatical,context,critical,sentence,picture1,picture2,picture3,picture4,context_norm
22,87,7,filler,WP2,g,low,low,match,yes,Der Besoffene*johlte*vor dem Fernseher:,Der Kriminalbeamte*verschaukelte*den Raubmörder.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler7_WP2_related_1.jpg,Filler7_WP2_related_2.jpg,Filler7_WP2_unrelated_1.jpg,Filler7_WP2_unrelated_2.jpg,Der Besoffene johlte vor dem Fernseher:
23,79,51,filler,SocStat,b,high,high,match,no,Der Chef*lehnte sich*mit der Vermutung*aus dem Fenster.,"Ich*nehme an,*dass*der Umsatz*trotz die miese Wirtschaftslage*schnell steigt.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler51_socstat_related_1.jpg,Filler51_socstat_related_2.jpg,Filler51_socstat_unrelated_1.jpg,Filler51_socstat_unrelated_2.jpg,Der Chef lehnte sich mit der Vermutung aus dem Fenster.
24,36,36,critical,WP1,d,high,low,mismatch,yes,Effizient autonom*deklariert*Vera:,Ich*montiere*später*meine Funzel*nach der Vorschrift.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Funzel.jpg,Lampe.jpg,Glubscher.jpg,Augen.jpg,Effizient autonom deklariert Vera:
25,71,41,filler,SocStat,b,high,high,match,no,Sein Enkel*macht*in seiner Heimatstadt Wittenberg*Abitur.,"Ich*bin sicher,*dass*die Note*trotz die knappe Vorbereitung*erfreulich ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler41_socstat_related_1.jpg,Filler41_socstat_related_2.jpg,Filler41_socstat_unrelated_1.jpg,Filler41_socstat_unrelated_2.jpg,Sein Enkel macht in seiner Heimatstadt Wittenberg Abitur.
26,58,18,filler,SocStat,a,high,high,match,yes,Helga*arbeitet*seit vielen Jahren*als Chefredakteurin.,"Ich*finde,*dass*der Artikel*wegen der kleinen Vorfälle*deutlich*übertreibt.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler18_socstat_related_1.jpg,Filler18_socstat_related_2.jpg,Filler18_socstat_unrelated_1.jpg,Filler18_socstat_unrelated_2.jpg,Helga arbeitet seit vielen Jahren als Chefredakteurin.
27,77,49,filler,SocStat,b,high,high,match,no,Erika*munkelte*über Ihre Hoffnung.,"Ich*hoffe,*dass*das Wetter*trotz die kalte Prognose*angenehm ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler49_socstat_related_1.jpg,Filler49_socstat_related_2.jpg,Filler49_socstat_unrelated_1.jpg,Filler49_socstat_unrelated_2.jpg,Erika munkelte über Ihre Hoffnung.
28,16,16,critical,WP1,f,high,low,mismatch,no,Feinsinnig veranlagt*verkündet*Robert:,Ich*beantrage*jetzt*meinen Böller*für den Dienst.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Boeller.jpg,Feuerwerkskoerper.jpg,Lappen.jpg,Fuehrerschein.jpg,Feinsinnig veranlagt verkündet Robert:
29,102,22,filler,WP2,i,high,low,mismatch,yes,Der Adlige*schilderte*eine befremdliche Begebenheit:,Der Gastwirt*schmierte*den Winzer.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler22_WP2_related_1.jpg,Filler22_WP2_related_2.jpg,Filler22_WP2_unrelated_1.jpg,Filler22_WP2_unrelated_2.jpg,Der Adlige schilderte eine befremdliche Begebenheit:
30,63,29,filler,SocStat,b,high,high,match,no,Maurice*fährt regelmäßig*zurück nach Halle*zu seiner Familie.,"Ich*ahne,*dass*der Ausflug*wegen die späte Anmeldung*ausfallen muss.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler29_socstat_related_1.jpg,Filler29_socstat_related_2.jpg,Filler29_socstat_unrelated_1.jpg,Filler29_socstat_unrelated_2.jpg,Maurice fährt regelmäßig zurück nach Halle zu seiner Familie.
31,84,4,filler,WP2,g,high,high,match,yes,Die Kulturministerin*artikulierte*im Jahresbericht:,Die Regisseurin*koste*den Hauptdarsteller.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler4_WP2_related_1.jpg,Filler4_WP2_related_2.jpg,Filler4_WP2_unrelated_1.jpg,Filler4_WP2_unrelated_2.jpg,Die Kulturministerin artikulierte im Jahresbericht:
32,3,3,critical,WP1,c,low,low,match,yes,Schlampig eingestellt*labert*Felix.,Ich*saniere*bald*meine Bruchbude*in der City.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Bruchbude.jpg,Wohnung.jpg,Lauscher.jpg,Ohren.jpg,Schlampig eingestellt labert Felix.
33,34,34,critical,WP1,d,high,low,mismatch,yes,Unermesslich wohlerzogen*frohlockt*Elisabeth:,Ich*trinke*später*meine Limos*in dem Lokal.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Limos.jpg,Erfrischungsgetraenke.jpg,Waelzer.jpg,Buecher.jpg,Unermesslich wohlerzogen frohlockt Elisabeth:
34,74,46,filler,SocStat,b,high,high,match,no,Tim*mauschelte*uns*seine Ideen*zu.,"Ich*vermute,*dass*die Zeit*trotz die schrille Musik*entspannend ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler46_socstat_related_1.jpg,Filler46_socstat_related_2.jpg,Filler46_socstat_unrelated_1.jpg,Filler46_socstat_unrelated_2.jpg,Tim mauschelte uns seine Ideen zu.
35,43,3,filler,SocStat,a,high,high,match,yes,Herr Kluge*bemüht sich*sehr*als Politiker.,"Ich*nehme an,*dass*die Absperrung*wegen der langen Konferenz*bestehen bleibt.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler3_socstat_related_1.jpg,Filler3_socstat_related_2.jpg,Filler3_socstat_unrelated_1.jpg,Filler3_socstat_unrelated_2.jpg,Herr Kluge bemüht sich sehr als Politiker.
36,60,21,filler,SocStat,a,high,high,match,yes,Als Lektor*steht*Hans*stets*vor neuen Herausforderungen.,"Ich*hoffe,*dass*die Reaktion*wegen der falschen Nachricht*angemessen ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler21_socstat_related_1.jpg,Filler21_socstat_related_2.jpg,Filler21_socstat_unrelated_1.jpg,Filler21_socstat_unrelated_2.jpg,Als Lektor steht Hans stets vor neuen Herausforderungen.
37,18,18,critical,WP1,f,high,low,mismatch,no,Penibelst disponiert*propagiert*Tobias:,Ich*füttere*gleich*mein Klo*vor dem Lagerhaus.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Klo.jpg,WC.jpg,Vieh.jpg,Tier.jpg,Penibelst disponiert propagiert Tobias:
38,54,14,filler,SocStat,a,high,high,match,yes,Herr Meyers Tätigkeit*als Disponent*verlangt*analytische Fähigkeiten.,"Ich*vermute,*dass*die Bahn*wegen des heiklen Spiels*überfüllt ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler14_socstat_related_1.jpg,Filler14_socstat_related_2.jpg,Filler14_socstat_unrelated_1.jpg,Filler14_socstat_unrelated_2.jpg,Herr Meyers Tätigkeit als Disponent verlangt analytische Fähigkeiten.
39,89,9,filler,WP2,g,low,low,match,yes,Die Bürotante*kritzelte*auf den Zettel:,Der Reiseleiter*beguckte*den Einzelgänger.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler9_WP2_related_1.jpg,Filler9_WP2_related_2.jpg,Filler9_WP2_unrelated_1.jpg,Filler9_WP2_unrelated_2.jpg,Die Bürotante kritzelte auf den Zettel:
40,56,16,filler,SocStat,a,high,high,match,yes,Ricardo*wird*regelmäßig*als DJ*angeheuert.,"Ich*merke,*dass*die Überraschung*wegen der tiefen Freude*gelungen ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler16_socstat_related_1.jpg,Filler16_socstat_related_2.jpg,Filler16_socstat_unrelated_1.jpg,Filler16_socstat_unrelated_2.jpg,Ricardo wird regelmäßig als DJ angeheuert.
41,15,15,critical,WP1,f,low,high,mismatch,no,Helle gestrickt*tönt*Robert:,Ich*zünde*jetzt*meinen Führerschein*während der Demo.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Fuehrerschein.jpg,Lappen.jpg,Feuerwerkskoerper.jpg,Boeller.jpg,Helle gestrickt tönt Robert:
42,28,28,critical,WP1,e,high,high,match,no,Meisterlich begabt*stimuliert*Susanna:,Ich*besaite*später*meine Kleider*für den Verehrer.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Kleider.jpg,Fummel.jpg,Trompete.jpg,Troete.jpg,Meisterlich begabt stimuliert Susanna:
43,117,37,filler,WP2,h,low,low,match,no,Die Sekretärin*wisperte*den Gossip:,Der Dekan*verteufeln*den Kanzler.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler37_WP2_related_1.jpg,Filler37_WP2_related_2.jpg,Filler37_WP2_unrelated_1.jpg,Filler37_WP2_unrelated_2.jpg,Die Sekretärin wisperte den Gossip:
44,9,9,critical,WP1,c,low,low,match,yes,Massig betucht*schwafelt*Paula:,Ich*verschrotte*bald*meine Karren*neben der Fabrik.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Karren.jpg,Autos.jpg,Stelzen.jpg,Beine.jpg,Massig betucht schwafelt Paula:
45,99,19,filler,WP2,j,low,high,mismatch,no,Die Oma*schwatzte*vor sich hin:,Der Priester*indoktrinieren*den Hausarzt.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler19_WP2_related_1.jpg,Filler19_WP2_related_2.jpg,Filler19_WP2_unrelated_1.jpg,Filler19_WP2_unrelated_2.jpg,Die Oma schwatzte vor sich hin:
46,22,22,critical,WP1,e,high,high,match,no,Fachkundig instruiert*signalisiert*Florian:,Ich*entwurme*jetzt*meinen Bauch*mit der Tablette.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Bauch.jpg,Wanst.jpg,Hund.jpg,Koeter.jpg,Fachkundig instruiert signalisiert Florian:
47,66,33,filler,SocStat,b,high,high,match,no,"Er*wohnt*in Nürnberg,*die Stadt der Lebkuchen.","Ich*weiß,*dass*das Rezept*trotz die richtige Angabe*misslingt.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler33_socstat_related_1.jpg,Filler33_socstat_related_2.jpg,Filler33_socstat_unrelated_1.jpg,Filler33_socstat_unrelated_2.jpg,"Er wohnt in Nürnberg, die Stadt der Lebkuchen."
48,7,7,critical,WP1,c,low,low,match,yes,Quietschfidel gelaunt*twittert*Dennis:,Ich*fahre*jetzt*meine Drahtesel*durch den Kiez.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Drahtesel.jpg,Fahrraeder.jpg,Gruenzeug.jpg,Gemuese.jpg,Quietschfidel gelaunt twittert Dennis:
49,109,29,filler,WP2,i,low,high,mismatch,yes,Die Frau*petzte*bei dem Hausmeister:,Der Wanderer*quälte*den Nachtportier.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler29_WP2_related_1.jpg,Filler29_WP2_related_2.jpg,Filler29_WP2_unrelated_1.jpg,Filler29_WP2_unrelated_2.jpg,Die Frau petzte bei dem Hausmeister:
50,26,26,critical,WP1,e,high,high,match,no,Unerhört wohlhabend*äußert*Heike:,Ich*verkaufe*bald*meine Füße*bei der Versteigerung.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Fuesse.jpg,Mauken.jpg,Residenz.jpg,Bude.jpg,Unerhört wohlhabend äußert Heike:
51,50,10,filler,SocStat,a,high,high,match,yes,Mein Papa*ist*Schreiner.,"Ich*befürchte,*dass*die Sanierung*wegen der schönen Umgebung*chancenlos ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler10_socstat_related_1.jpg,Filler10_socstat_related_2.jpg,Filler10_socstat_unrelated_1.jpg,Filler10_socstat_unrelated_2.jpg,Mein Papa ist Schreiner.
52,83,3,filler,WP2,g,low,low,match,yes,Der Typ*verbreitete*auf WhatsApp:,Der Sportlehrer*ärgerte*den Wettläufer.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler3_WP2_related_1.jpg,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_1.jpg,Filler3_WP2_unrelated_2.jpg,Der Typ verbreitete auf WhatsApp:
53,37,37,critical,WP1,d,low,high,mismatch,yes,Recht zuvorkommend*plauscht*Norbert:,Ich*wasche*gleich*meine Finger*in dem Spülbecken.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Finger.jpg,Griffel.jpg,Getraenke.jpg,Pluerre.jpg,Recht zuvorkommend plauscht Norbert:
54,70,40,filler,SocStat,b,high,high,match,no,In Ihrer neuen Heimat*Kassel*ist*viel Platz*für ein Beet.,"Ich*befürchte,*dass*der Garten*trotz die üppige Pflege*zuwachsen wird.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler40_socstat_related_1.jpg,Filler40_socstat_related_2.jpg,Filler40_socstat_unrelated_1.jpg,Filler40_socstat_unrelated_2.jpg,In Ihrer neuen Heimat Kassel ist viel Platz für ein Beet.
55,69,39,filler,SocStat,b,high,high,match,no,Seine Großmutter*aus München*backt*sehr gerne.,"Ich*befürchte,*dass*der Kuchen*trotz die frische Füllung*trocken ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler39_socstat_related_1.jpg,Filler39_socstat_related_2.jpg,Filler39_socstat_unrelated_1.jpg,Filler39_socstat_unrelated_2.jpg,Seine Großmutter aus München backt sehr gerne.
56,38,38,critical,WP1,d,high,low,mismatch,yes,Achtsam wohlmeinend*verbalisiert*Norbert:,Ich*verschütte*gleich*meine Plürre*auf den Tischläufer.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Pluerre.jpg,Getraenke.jpg,Griffel.jpg,Finger.jpg,Achtsam wohlmeinend verbalisiert Norbert:
57,48,8,filler,SocStat,a,high,high,match,yes,Anna*arbeitet*mehr als 5 Jahre*in dem Geschäft.,"Ich*meine,*dass*das Essen*wegen des scharfen Gewürzes*unverträglich ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler8_socstat_related_1.jpg,Filler8_socstat_related_2.jpg,Filler8_socstat_unrelated_1.jpg,Filler8_socstat_unrelated_2.jpg,Anna arbeitet mehr als 5 Jahre in dem Geschäft.
58,105,25,filler,WP2,i,low,high,mismatch,yes,Der Fan*textete*in der Whatsapp-Gruppe:,Der Trainer*inspizierte*den Ringkämpfer.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler25_WP2_related_1.jpg,Filler25_WP2_related_2.jpg,Filler25_WP2_unrelated_1.jpg,Filler25_WP2_unrelated_2.jpg,Der Fan textete in der Whatsapp-Gruppe:
59,95,15,filler,WP2,j,low,high,mismatch,no,Der Offizier*schwätzte*in der Kantine:,Der Soldat*denunzieren*den Wachmann.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler15_WP2_related_1.jpg,Filler15_WP2_related_2.jpg,Filler15_WP2_unrelated_1.jpg,Filler15_WP2_unrelated_2.jpg,Der Offizier schwätzte in der Kantine:
60,32,32,critical,WP1,d,high,low,mismatch,yes,Grandios geschult*prophezeit*Klaus:,Ich*verschreibe*bald*meine Pillen*auf dem Zettel.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Pillen.jpg,Arznei.jpg,Knarre.jpg,Pistole.jpg,Grandios geschult prophezeit Klaus:
61,59,19,filler,SocStat,a,high,high,match,yes,In einer Rösterei*arbeiten*macht*große Freude.,"Ich*finde,*dass*der Kaffee*wegen der alten Milch*merkwürdig schmeckt.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler19_socstat_related_1.jpg,Filler19_socstat_related_2.jpg,Filler19_socstat_unrelated_1.jpg,Filler19_socstat_unrelated_2.jpg,In einer Rösterei arbeiten macht große Freude.
62,61,24,filler,SocStat,b,high,high,match,no,Max*aus Bremen*ist*ein richtiger Bücherwurm.,"Ich*behaupte,*dass*das Lesen*wegen die neue Brille*leichter fällt.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler24_socstat_related_1.jpg,Filler24_socstat_related_2.jpg,Filler24_socstat_unrelated_1.jpg,Filler24_socstat_unrelated_2.jpg,Max aus Bremen ist ein richtiger Bücherwurm.
63,68,35,filler,SocStat,b,high,high,match,no,Das Weinfest*ist*bei vielen Hessen*Höhepunkt des Jahres.,"Ich*weiß,*dass*der Raum*trotz die massive*Hitze*voll ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler35_socstat_related_1.jpg,Filler35_socstat_related_2.jpg,Filler35_socstat_unrelated_1.jpg,Filler35_socstat_unrelated_2.jpg,Das Weinfest ist bei vielen Hessen Höhepunkt des Jahres.
64,40,40,critical,WP1,d,high,low,mismatch,yes,Leger verweilend*ersinnt*Sabine:,Ich*trage*jetzt*meine Schlappen*auf der Allee.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Schlappen.jpg,Hausschuhe.jpg,Absteige.jpg,Pension.jpg,Leger verweilend ersinnt Sabine:
65,55,15,filler,SocStat,a,high,high,match,yes,Charlotte*schreibt*freiberuflich*für ein Satiremagazin.,"Ich*ahne,*dass*die Stimmung*wegen der fiesen Beleidigung*schlecht ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler15_socstat_related_1.jpg,Filler15_socstat_related_2.jpg,Filler15_socstat_unrelated_1.jpg,Filler15_socstat_unrelated_2.jpg,Charlotte schreibt freiberuflich für ein Satiremagazin.
66,103,23,filler,WP2,i,low,high,mismatch,yes,Der Bouncer*gellte*ins Walkie-Talkie:,Der Geiger*stieß*den Sänger.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler23_WP2_related_1.jpg,Filler23_WP2_related_2.jpg,Filler23_WP2_unrelated_1.jpg,Filler23_WP2_unrelated_2.jpg,Der Bouncer gellte ins Walkie-Talkie:
67,30,30,critical,WP1,e,high,high,match,no,Exzessiv arrogant*intoniert*Annika:,Ich*streiche*bald*meine Zigarre*während der Arbeitszeit.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Zigarre.jpg,Kippe.jpg,Schaenke.jpg,Kneipe.jpg,Exzessiv arrogant intoniert Annika:
68,119,39,filler,WP2,h,low,low,match,no,Die Touris*gaben*den Wink:,Der Fremdenführer*ghosten*die Reisegruppe.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler39_WP2_related_1.jpg,Filler39_WP2_related_2.jpg,Filler39_WP2_unrelated_1.jpg,Filler39_WP2_unrelated_2.jpg,Die Touris gaben den Wink:
